GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
8600000US92058,92058,ZCTA5 92058,43855,4274
8600000US92059,92059,ZCTA5 92059,66288,17145
8600000US92060,92060,ZCTA5 92060,-,**
8600000US92061,92061,ZCTA5 92061,52500,42579
8600000US92064,92064,ZCTA5 92064,98942,5229
8600000US92065,92065,ZCTA5 92065,79169,4143
8600000US92066,92066,ZCTA5 92066,51023,23885
8600000US92067,92067,ZCTA5 92067,133355,46317
8600000US92069,92069,ZCTA5 92069,59770,2372
8600000US92070,92070,ZCTA5 92070,43447,4301
8600000US92071,92071,ZCTA5 92071,77712,3388
8600000US92075,92075,ZCTA5 92075,99688,13278
8600000US92078,92078,ZCTA5 92078,65686,3355
8600000US92081,92081,ZCTA5 92081,60682,3592
8600000US92082,92082,ZCTA5 92082,76530,10969
8600000US92083,92083,ZCTA5 92083,52123,1646
8600000US92084,92084,ZCTA5 92084,56501,2504
8600000US92086,92086,ZCTA5 92086,37083,7527
8600000US92091,92091,ZCTA5 92091,145705,18766
8600000US92101,92101,ZCTA5 92101,57209,4795
8600000US92102,92102,ZCTA5 92102,42464,2824
8600000US92103,92103,ZCTA5 92103,72200,4382
8600000US92104,92104,ZCTA5 92104,52029,2607
8600000US92105,92105,ZCTA5 92105,37908,1909
8600000US92106,92106,ZCTA5 92106,83288,9017
8600000US92107,92107,ZCTA5 92107,73088,5300
8600000US92108,92108,ZCTA5 92108,65586,4617
8600000US92109,92109,ZCTA5 92109,71098,2214
8600000US92110,92110,ZCTA5 92110,61310,3604
8600000US92111,92111,ZCTA5 92111,60134,3870
8600000US92113,92113,ZCTA5 92113,31001,1654
8600000US92114,92114,ZCTA5 92114,58036,3002
8600000US92115,92115,ZCTA5 92115,46994,2242
8600000US92116,92116,ZCTA5 92116,60362,3168
8600000US92117,92117,ZCTA5 92117,66297,4890
8600000US92118,92118,ZCTA5 92118,92413,4915
8600000US92119,92119,ZCTA5 92119,74507,3311
8600000US92120,92120,ZCTA5 92120,85275,4877
8600000US92121,92121,ZCTA5 92121,101906,9700
8600000US92122,92122,ZCTA5 92122,73756,8791
8600000US92123,92123,ZCTA5 92123,72245,3716
8600000US92124,92124,ZCTA5 92124,82037,3877
8600000US92126,92126,ZCTA5 92126,90006,3008
8600000US92127,92127,ZCTA5 92127,117150,11714
8600000US92128,92128,ZCTA5 92128,96026,4637
8600000US92129,92129,ZCTA5 92129,115260,6940
8600000US92130,92130,ZCTA5 92130,136855,6695
8600000US92131,92131,ZCTA5 92131,120584,6384
8600000US92132,92132,ZCTA5 92132,-,**
8600000US92134,92134,ZCTA5 92134,-,**
8600000US92135,92135,ZCTA5 92135,-,**
8600000US92139,92139,ZCTA5 92139,57442,4150
8600000US92140,92140,ZCTA5 92140,-,**
8600000US92145,92145,ZCTA5 92145,202563,170382
8600000US92147,92147,ZCTA5 92147,-,**
8600000US92154,92154,ZCTA5 92154,61618,2500
8600000US92155,92155,ZCTA5 92155,-,**
8600000US92173,92173,ZCTA5 92173,37166,2343
8600000US92201,92201,ZCTA5 92201,42453,1905
8600000US92203,92203,ZCTA5 92203,65947,5216
8600000US92210,92210,ZCTA5 92210,96201,11945
8600000US92211,92211,ZCTA5 92211,58274,4942
8600000US92220,92220,ZCTA5 92220,40907,2346
8600000US92222,92222,ZCTA5 92222,-,**
8600000US92223,92223,ZCTA5 92223,65766,2508
8600000US92225,92225,ZCTA5 92225,39314,3116
8600000US92227,92227,ZCTA5 92227,41611,3808
8600000US92230,92230,ZCTA5 92230,34018,5286
8600000US92231,92231,ZCTA5 92231,34379,3569
8600000US92233,92233,ZCTA5 92233,35208,7383
8600000US92234,92234,ZCTA5 92234,41743,1992
8600000US92236,92236,ZCTA5 92236,36300,2235
8600000US92239,92239,ZCTA5 92239,57768,49710
8600000US92240,92240,ZCTA5 92240,35393,1812
8600000US92241,92241,ZCTA5 92241,32629,4552
8600000US92242,92242,ZCTA5 92242,29911,2885
8600000US92243,92243,ZCTA5 92243,42476,3406
8600000US92249,92249,ZCTA5 92249,52886,12054
8600000US92250,92250,ZCTA5 92250,36500,13787
8600000US92251,92251,ZCTA5 92251,82901,5970
8600000US92252,92252,ZCTA5 92252,35449,6672
8600000US92253,92253,ZCTA5 92253,72203,4912
8600000US92254,92254,ZCTA5 92254,27492,3946
8600000US92256,92256,ZCTA5 92256,35405,7063
8600000US92257,92257,ZCTA5 92257,18299,3313
8600000US92258,92258,ZCTA5 92258,-,**
8600000US92259,92259,ZCTA5 92259,31136,12617
8600000US92260,92260,ZCTA5 92260,51426,1794
8600000US92262,92262,ZCTA5 92262,46162,2861
8600000US92264,92264,ZCTA5 92264,45166,2788
8600000US92266,92266,ZCTA5 92266,25119,19054
8600000US92267,92267,ZCTA5 92267,-,**
8600000US92268,92268,ZCTA5 92268,37875,11212
8600000US92270,92270,ZCTA5 92270,66083,9011
8600000US92273,92273,ZCTA5 92273,25000,5877
8600000US92274,92274,ZCTA5 92274,28960,2462
8600000US92275,92275,ZCTA5 92275,30750,12401
8600000US92276,92276,ZCTA5 92276,43308,5625
8600000US92277,92277,ZCTA5 92277,37613,5032
8600000US92278,92278,ZCTA5 92278,65547,15019
8600000US92280,92280,ZCTA5 92280,-,**
8600000US92281,92281,ZCTA5 92281,33380,6849
8600000US92282,92282,ZCTA5 92282,35417,7479
8600000US92283,92283,ZCTA5 92283,29514,8776
8600000US92284,92284,ZCTA5 92284,40333,4312
8600000US92285,92285,ZCTA5 92285,30963,5937
8600000US92301,92301,ZCTA5 92301,29715,3642
8600000US92304,92304,ZCTA5 92304,-,**
8600000US92305,92305,ZCTA5 92305,38095,22717
8600000US92307,92307,ZCTA5 92307,55044,4174
