business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,address2
83351,City Super,1108 Stockton St,San Francisco,CA,94133,NA,NA,,NA,83351_20150824,8/24/2015 0:00,NA,Complaint,,,,"1108 Stockton St, San Francisco, CA"
77738,Park Plaza Fine Foods,111 Cambon Dr,San Francisco,CA,94132,NA,NA,,14155587075,77738_20161207,12/7/2016 0:00,88,Routine - Unscheduled,77738_20161207_103129,Insufficient hot water or running water,Moderate Risk,"111 Cambon Dr, San Francisco, CA"
80861,Red Door Coffee,111 Minna St,San Francisco,CA,94105,NA,NA,,NA,80861_20170119,1/19/2017 0:00,94,Routine - Unscheduled,,,,"111 Minna St, San Francisco, CA"
88459,Philz Coffee,1110 Ocean Ave,San Francisco,CA,94112,NA,NA,,14155835933,88459_20161103,11/3/2016 0:00,NA,New Construction,,,,"1110 Ocean Ave, San Francisco, CA"
84558,Ruru Juice LLC,1111 08th St,San Francisco,CA,94107,NA,NA,,14150968087,84558_20160121,1/21/2016 0:00,NA,Structural Inspection,,,,"1111 08th St, San Francisco, CA"
80421,The Masonic Auditorium,1111 California St,San Francisco,CA,,NA,NA,,14155700001,80421_20160713,7/13/2016 0:00,81,Routine - Unscheduled,80421_20160713_103109,Unclean or unsanitary food contact surfaces,High Risk,"1111 California St, San Francisco, CA"
85947,Teo,1111 Mission St.,San Francisco,CA,94103,NA,NA,,14150217929,85947_20171219,12/19/2017 0:00,NA,Reinspection/Followup,,,,"1111 Mission St., San Francisco, CA"
77065,Pho Hour,1114 Bryant St,San Francisco,CA,94103,NA,NA,,NA,77065_20150512,5/12/2015 0:00,88,Routine - Unscheduled,77065_20150512_103139,Improper food storage,Low Risk,"1114 Bryant St, San Francisco, CA"
80679,Mora Taco Truck,1116 Potrero Ave,San Francisco,CA,94124,NA,NA,,14155756019,80679_20160119,1/19/2016 0:00,NA,Structural Inspection,,,,"1116 Potrero Ave, San Francisco, CA"
84795,Poke Fusion,112 Waverly Pl,San Francisco,CA,94108,NA,NA,,NA,84795_20170531,5/31/2017 0:00,100,Routine - Unscheduled,,,,"112 Waverly Pl, San Francisco, CA"
92224,House of Tadu Ethiopian Kitchen,1120 4th St.,San Francisco,CA,94158,NA,NA,,NA,92224_20170817,8/17/2017 0:00,NA,New Construction,,,,"1120 4th St., San Francisco, CA"
71994,"Bitters, Bock & Rye",1122 Post St,San Francisco,CA,94109,NA,NA,,NA,71994_20160505,5/5/2016 0:00,77,Routine - Unscheduled,71994_20160505_103120,Moderate risk food holding temperature,Moderate Risk,"1122 Post St, San Francisco, CA"
90895,Trademark/Copyright,1123 Folsom St.,San Francisco,CA,94103,NA,NA,,NA,90895_20170525,5/25/2017 0:00,NA,New Ownership,,,,"1123 Folsom St., San Francisco, CA"
94615,"New Wing Sing Bakery, LLC",1125 Stockton St,San Francisco,CA,94133,NA,NA,,NA,94615_20180316,3/16/2018 0:00,NA,New Ownership,,,,"1125 Stockton St, San Francisco, CA"
88306,Poki Hub,1130 Ocean Ave,San Francisco,CA,,NA,NA,,14155826078,88306_20180305,3/5/2018 0:00,96,Routine - Unscheduled,88306_20180305_103156,Permit license or inspection report not posted,Low Risk,"1130 Ocean Ave, San Francisco, CA"
71012,Little Paris,1131 Stockton St,San Francisco,CA,94133,NA,NA,,14155984057,71012_20171215,12/15/2017 0:00,NA,Reinspection/Followup,,,,"1131 Stockton St, San Francisco, CA"
90110,El Antigua Cafe Corporation,1131 Taraval St,San Francisco,CA,94116,NA,NA,,14155683259,90110_20170406,4/6/2017 0:00,NA,New Construction,,,,"1131 Taraval St, San Francisco, CA"
86561,The Crepe House,1132 Valencia St,San Francisco,CA,94110,NA,NA,,14155282423,86561_20160425,4/25/2016 0:00,NA,New Ownership,,,,"1132 Valencia St, San Francisco, CA"
89982,Pakwan Restaurant,1140 Ocean Ave,San Francisco,CA,94112,NA,NA,,14155841200,89982_20170215,2/15/2017 0:00,NA,Reinspection/Followup,,,,"1140 Ocean Ave, San Francisco, CA"
90566,Puppy Bobar,1142 Grant Ave,San Francisco,CA,94133,NA,NA,,NA,90566_20170831,8/31/2017 0:00,NA,New Ownership,,,,"1142 Grant Ave, San Francisco, CA"
